,manufacturer,price,number_of_reviews,number_of_answered_questions,average_review_rating,price_min,price_max,number_available_in_stock,collectible,new,refurbished,unavailable,used,condition
5060,Bburago,11.99,8,1.0,4.9,11.99,11.99,10,0,1,0,0,0,new
5061,Tamiya,11.85,1,1.0,5.0,11.85,11.85,15,0,1,0,0,0,new
5062,Corgi,16.99,1,1.0,5.0,16.99,16.99,0,0,0,0,1,0,unavailable
5063,Bburago,23.10,1,2.0,4.0,23.1,23.1,13,0,1,0,0,0,new
5064,Welly,7.15,2,2.0,5.0,7.15,7.15,2,0,1,0,0,0,new
5065,Revell-Monogram,15.45,2,2.0,5.0,15.45,15.45,21,0,1,0,0,0,new
5066,Teamsterz,9.20,3,2.0,5.0,9.2,9.2,4,0,1,0,0,0,new
5067,Rolls Royce,74.55,1,2.0,4.0,74.55,74.55,2,0,1,0,0,0,new
5068,Oxford Diecast,6.95,2,2.0,5.0,6.95,6.95,5,0,1,0,0,0,new
5069,AUTOart,91.57,1,2.0,5.0,91.57,91.57,8,0,1,0,0,0,new
5070,Oxford Diecast,7.18,6,2.0,4.5,7.18,7.18,5,0,1,0,0,0,new
5071,Revell-Monogram,11.99,1,2.0,4.0,11.99,11.99,17,0,1,0,0,0,new
5072,Bburago,15.27,3,2.0,4.3,15.27,15.27,19,0,1,0,0,0,new
5073,Oxford Diecast,7.20,1,2.0,5.0,7.2,7.2,3,0,1,0,0,0,new
5074,ixo,9.99,1,2.0,5.0,9.99,9.99,2,0,1,0,0,0,new
5075,Oxford Diecast,7.99,3,2.0,5.0,7.99,7.99,0,0,0,0,1,0,unavailable
5076,Oxford Diecast,20.99,1,2.0,5.0,20.99,20.99,2,0,1,0,0,0,new
5077,Lamborghini,568.12,1,2.0,5.0,568.12,568.12,0,0,0,0,1,0,unavailable
5078,Aprilia,9.49,1,2.0,5.0,9.49,9.49,4,0,1,0,0,0,new
5079,Oxford Diecast,20.45,2,2.0,5.0,20.45,20.45,3,0,1,0,0,0,new
5080,Agatsuma,16.99,1,2.0,5.0,16.99,16.99,20,0,1,0,0,0,new
5081,AUTOart,215.00,1,2.0,5.0,215.0,215.0,3,0,1,0,0,0,new
5082,Oxford,7.95,1,2.0,5.0,7.95,7.95,2,0,1,0,0,0,new
5083,Oxford Diecast,10.95,1,1.0,5.0,10.95,10.95,2,0,1,0,0,0,new
5084,Oxford Diecast,8.44,1,1.0,5.0,8.44,8.44,4,0,1,0,0,0,new
5085,Hot Wheels,21.60,14,1.0,4.8,21.6,21.6,8,0,1,0,0,0,new
5086,Greenlight,12.99,6,1.0,4.5,12.99,12.99,9,0,1,0,0,0,new
5087,Classix,4.25,2,1.0,4.5,4.25,4.25,3,0,1,0,0,0,new
5088,Morris & Co,8.75,1,1.0,5.0,8.75,8.75,0,0,0,0,1,0,unavailable
5089,Collectable Diecast,60.32,1,1.0,5.0,60.32,60.32,2,0,1,0,0,0,new
5090,Hot Wheels,11.99,1,1.0,5.0,11.99,11.99,3,0,1,0,0,0,new
5091,Hot Wheels,3.49,1,1.0,4.0,3.49,3.49,7,0,1,0,0,0,new
5092,Unbekannt,289.99,1,1.0,5.0,289.99,289.99,0,0,0,0,1,0,unavailable
5093,Maisto,11.96,1,1.0,4.0,11.96,11.96,5,0,1,0,0,0,new
5094,AUTOart,131.14,1,1.0,5.0,131.14,131.14,3,0,1,0,0,0,new
5095,Mirage Hobby,11.50,1,1.0,5.0,11.5,11.5,3,0,1,0,0,0,new
5096,hongwell,11.99,1,1.0,5.0,11.99,11.99,0,0,0,0,1,0,unavailable
5097,Oxford Diecast,22.68,1,1.0,5.0,22.68,22.68,7,0,1,0,0,0,new
5098,Greenlight,22.65,3,1.0,4.7,22.65,22.65,14,0,1,0,0,0,new
5099,Oxford Diecast,7.89,1,1.0,5.0,7.89,7.89,2,0,1,0,0,0,new
5100,cararama,8.99,3,1.0,4.7,8.99,8.99,0,0,0,0,1,0,unavailable
5101,Corgi,19.99,1,1.0,4.0,19.99,19.99,1,0,0,0,0,1,used
5102,Oxford Diecast,9.95,2,1.0,5.0,9.95,9.95,3,0,1,0,0,0,new
5103,Corgi,93.77,1,1.0,4.0,93.77,93.77,2,0,1,0,0,0,new
5104,Corgi,10.75,1,1.0,5.0,10.75,10.75,4,0,1,0,0,0,new
5105,Oxford Diecast,6.17,2,1.0,4.5,6.17,6.17,5,0,1,0,0,0,new
5106,Brumm,18.95,1,1.0,4.0,18.95,18.95,3,0,1,0,0,0,new
5107,Supreme Models Online,15.99,4,1.0,5.0,15.99,15.99,0,0,0,0,1,0,unavailable
5108,Tobar,7.69,7,1.0,4.0,7.69,7.69,5,0,1,0,0,0,new
5109,Oxford Diecast,7.44,9,1.0,4.7,7.44,7.44,2,0,1,0,0,0,new
5110,A B Gee,34.99,1,1.0,4.0,34.99,34.99,3,0,1,0,0,0,new
5111,Oxford Diecast,15.95,2,1.0,4.5,15.95,15.95,3,0,1,0,0,0,new
5112,Halsall,3.99,2,1.0,4.5,3.99,3.99,0,0,0,0,1,0,unavailable
5113,Aston Martin,132.95,1,1.0,5.0,132.95,132.95,0,0,0,0,1,0,unavailable
5114,Minichamps,61.08,1,1.0,5.0,61.08,61.08,8,0,1,0,0,0,new
5115,universal hobby,13.94,1,1.0,5.0,13.94,13.94,3,0,1,0,0,0,new
5116,Hot Wheels,47.89,1,1.0,4.0,47.89,47.89,3,0,1,0,0,0,new
5117,Corgi,35.00,1,1.0,4.0,35.0,35.0,3,0,1,0,0,0,new
5118,Revell-Monogram,19.34,1,1.0,5.0,19.34,19.34,18,0,1,0,0,0,new
5119,Tobar,14.02,5,1.0,5.0,14.02,14.02,15,0,1,0,0,0,new
5120,Oxford,5.99,1,1.0,5.0,5.99,5.99,0,0,0,0,1,0,unavailable
5121,Oxford Diecast,20.45,1,1.0,5.0,20.45,20.45,3,0,1,0,0,0,new
5122,Oxford Diecast,11.95,1,1.0,5.0,11.95,11.95,0,0,0,0,1,0,unavailable
5123,Maisto,35.08,1,1.0,4.0,35.08,35.08,8,0,1,0,0,0,new
5124,Minichamps,152.83,1,1.0,4.0,152.83,152.83,0,0,0,0,1,0,unavailable
5125,Corgi,14.99,2,1.0,5.0,14.99,14.99,6,0,1,0,0,0,new
5126,Oxford Diecast,4.95,1,1.0,5.0,4.95,4.95,2,0,1,0,0,0,new
5127,Oxford Diecast,6.99,2,1.0,5.0,6.99,6.99,5,0,1,0,0,0,new
5128,Tobar,11.02,8,1.0,4.6,11.02,11.02,7,0,1,0,0,0,new
5129,Maisto,15.74,1,1.0,5.0,15.74,15.74,2,0,1,0,0,0,new
5130,Takara Tomy,3.66,1,1.0,5.0,3.66,3.66,35,0,1,0,0,0,new
